cell,lon,lat,range,updated
243722,-3.7224,40.3422,3065,1744640771
11776,-3.6933,40.4317,1000,1722209771
77569,-3.6884,40.4339,4459,1722209771
14081,-3.6891,40.426,796,1760348881
11520,-3.7022,40.4305,1000,1722209771
103937,-3.6887,40.4357,1000,1722209772
239872,-3.6995,40.4311,1000,1722209771
239874,-3.7009,40.4294,1000,1722209772
28929,-3.6377,40.4693,1000,1717795750
1051904,-3.6732,40.4785,3362,1759054322
1003520,-3.6677,40.4677,3158,1736929921
139776,-3.6707,40.4918,1885,1736929921
987924,-3.7252,40.3053,18725,1744640763
158987,-3.7165,40.3101,7011,1715639762
11778,-3.6945,40.4291,1000,1722209773
77825,-3.694,40.4348,1000,1722209771
103681,-3.6993,40.4347,1000,1722209773
90380,-3.6908,40.427,1000,1717795752
240896,-3.6884,40.4235,500,1760348881
47115,-3.644,40.4812,840,1736929921
167946,-3.6549,40.516,3955,1759066682
1003521,-3.6687,40.4947,1829,1736929921
139778,-3.6718,40.4891,1625,1759054322
78347,-3.6844,40.4264,1403,1760348881
79116,-3.6897,40.4245,1000,1717795752
965388,-3.652,40.5207,1701,1759562942
999180,-3.6633,40.4925,8541,1759066682
77568,-3.6913,40.4355,1000,1722209772
79628,-3.7,40.4286,1000,1730144643
103682,-3.7002,40.4375,1000,1722209773
79105,-3.6871,40.4246,500,1760348881
79618,-3.6981,40.4269,562,1730144643
103936,-3.6908,40.4393,1384,1722209772
240898,-3.6884,40.4216,500,1760348881
28930,-3.6418,40.4696,1000,1717795750
28692,-3.6381,40.477,1112,1736929864
34562,-3.6595,40.4177,605,1759066683
11777,-3.6894,40.4307,1577,1749729602
13826,-3.6985,40.4244,1000,1722209774
79616,-3.6951,40.4291,1000,1722209773
79115,-3.6873,40.4241,1152,1760348881
131074,-3.6641,40.4551,643,1759066683
131328,-3.6679,40.4655,1692,1759066682
131840,-3.6729,40.4864,606,1759054322
965386,-3.6507,40.5214,1244,1759562942
139788,-3.6747,40.4847,670,1759066682
89602,-3.6633,40.4288,5477,1760348822
89108,-3.6715,40.4238,500,1760348821
242177,-3.697,40.3613,1957,1760531462
2081280,-3.6614,40.4323,2444,1759066683
1569282,-3.6777,40.4239,500,1760348822
34560,-3.6585,40.4225,598,1759054321
2060545,-3.6729,40.4298,3272,1760348822
2081281,-3.66,40.428,960,1759066683
2060546,-3.7596,40.411,7451,1760348822
58881,-3.7253,40.3931,1000,1749039422
1643019,-3.7187,40.3799,2072,1744640771
91394,-3.6721,40.4253,1680,1760348821
90882,-3.7003,40.4052,3333,1760348822
1569281,-3.6689,40.423,933,1760348822
91393,-3.6679,40.4246,500,1760348822
159754,-3.7369,40.2952,18193,1744640770
72095745,-3.6928,40.4189,2029,1743872462
898571,-3.6475,40.3159,2304,1717661042
73449985,-3.582,40.4661,1791,1744148102
72991233,-3.5868,40.4503,716,1760941276
74143233,-3.5829,40.4438,500,1760941276
71888389,-3.703,40.4514,988,1745349362
72065539,-3.7198,40.4352,1000,1753102381
72859905,-3.5759,40.428,714,1760941276
72761602,-3.5961,40.4783,1128,1744148102
74143235,-3.5871,40.4407,1090,1760941276
73627138,-3.5996,40.4236,1167,1760941275
73783809,-3.6346,40.4759,800,1744148102
73270787,-3.8251,40.4085,672,1744148105
72376583,-3.823,40.4486,1024,1744148105
73166594,-3.8012,40.4637,3589,1744148104
72376579,-3.833,40.4374,955,1744148105
71835910,-3.7041,40.4461,1000,1745349362
71835908,-3.7037,40.4484,538,1745349362
72065538,-3.7178,40.437,500,1745349362
73783811,-3.6385,40.4795,2700,1744148102
74014465,-3.5692,40.4706,1000,1744148102
73118979,-3.8284,40.4294,763,1744148105
73270786,-3.8245,40.409,1057,1744148105
73166595,-3.8068,40.4616,4052,1744148104
72376577,-3.8259,40.4456,1537,1744148105
72657410,-3.8342,40.4258,1092,1744148105
72065537,-3.7197,40.4378,500,1744041961
71888390,-3.7034,40.4535,500,1745349362
72067844,-3.7137,40.4353,1000,1744050061
71760130,-3.7232,40.4378,756,1744041961
73168643,-3.717,40.433,1856,1744050061
72067592,-3.6957,40.4088,7489,1758114722
72090881,-3.7207,40.4979,1000,1722768736
72630019,-3.7868,40.466,2423,1722768736
74011394,-3.8079,40.4608,1000,1722768735
71887366,-3.7026,40.4559,525,1745349362
73451270,-3.7072,40.4383,951,1744050061
72093185,-3.6691,40.421,903,1743872462
72399362,-3.6681,40.4179,1000,1718487961
73114370,-3.5591,40.4504,13209,1760941276
73114371,-3.5857,40.4436,500,1760941276
72991235,-3.59,40.4463,557,1760941276
72630017,-3.7851,40.4716,4887,1722768736
71835907,-3.7039,40.4469,1000,1745349362
74011395,-3.8158,40.4552,864,1744148105
73192706,-3.5723,40.4497,3270,1760941276
73627137,-3.5966,40.4297,578,1760941275
72657409,-3.8274,40.4189,875,1744148105
73144322,-3.7957,40.4648,3137,1744148104
73603841,-3.8105,40.4596,647,1744148104
73807362,-3.6845,40.4699,505,1745349361
73678851,-3.7541,40.4738,3445,1722768736
71708678,-3.6897,40.4662,500,1745349362
71708675,-3.6897,40.4665,1000,1745349361
74088449,-3.6992,40.461,500,1745349362
73194242,-3.6931,40.3122,1413,1760941274
73194241,-3.6869,40.3267,2071,1760941274
72247555,-3.6943,40.2903,4575,1760941274
